Name,Group,Average Male Height,Average Male Weight,Year of Recognition,Popularity Rank,Place of Origin,
Airedale Terrier,Terrier,23,60,1888,65,England,Europe
Akita,Working,27,115,1972,55,Japan,Asia
Alaskan Malamute,Working,25,85,1935,67,America,North America
American Staffordshire Terrier,Terrier,18,62,1936,87,America,North America
Anatolian Shepherd Dog,Working Group,29,130,1996,79,Turkey,Asia
Australian Cattle Dog,Herding,19,42,1980,48,Australia,Oceania
Basenji,HOund,17,24,1944,91,Central Africa,Africa
Basset Hound,Hound,15,52,1885,36,France,Europe
Beagle,Hound,14,25,1885,8,England,Europe
Belgian Malinois,Herding,25,70,1959,32,Belgium,Europe
Bernese Mountain Dog,Working,26,97,1937,22,Switzerland,Europe
Bichon Frise,Non Sporting,10,15,1972,47,Canary Islands,Africa
Biewer Terrier,toy,9,6,2021,77,Germany,Europe
Bloodhound,Hound,26,100,1885,50,Belgium,Europe
Border Collie,Herding,20,42,1995,30,Scotland,Europe
Border Terrier,Terrier,13,14,1930,95,Scotland,Europe
Boston Terrier,Non Sporting Group,11,18,1893,24,America,North America
Bouvier des Flandres,Herding,26,90,1931,98,Belgium,Europe
Boxer,Working,24,72,1904,16,Germany,Europe
Boykin Spaniel,Sporting,16,35,2009,82,America,North America
Brittany,Sporting,19,35,1934,28,France,Europe
Brussels Griffon,Toy,8,9,1910,97,Belgium,Europe
Bull Terrier,Terrier,21,60,1885,64,England,Europe
Bulldog,Non Sporting,14,50,1886,6,England,Europe
Bullmastiff,Working,26,120,1934,61,England,Europe
Cairn Terrier,Terrier,10,14,1913,70,Scotland,Europe
Cane Corso,Working,25,105,2010,18,Italy,Europe
Cardigan Welsh Corgi,Herding,11,34,1935,62,Wales,Europe
Cavalier King Charles Spaniel,Toy,12,15,1995,14,England,Europe
Chesapeake Bay Retriever,Sporting,24,72,1878,52,America,North America
Chihuahua,Toy,6,6,1904,34,Mexico,North America
Chinese Char Pei,Non Sporting,19,52,1992,68,China,Asia
Chinese Crested,Toy,12,10,1991,80,China,Asia
Chow Chow,Non Sporting,18,47,1903,92,China,Asia
Cocker Spaniel,Sporting,15,27,1878,29,England,Europe
Collie,Herding,25,67,1885,39,Scotland,Europe
Coton de Tulear,Non Sporting,10,12,2014,84,Madagascar,Africa
Dachshund,Hound,8,24,1885,9,Germany,Europe
Dalmation,Non Sporting,21,57,1888,49,Croatia,Europe
Doberman Pinscher,Working,27,87,1908,15,Germany,Europe
Dogo Argentino,Working,25,90,2020,88,Argentina,South America
Dogue de Bordeaux,Working,23,110,2008,78,France,Europe
English Cocker Spaniel,Sporting,16,31,1946,40,England,Europe
English Setter,Sporting,26,72,1878,93,England,Europe
English Springer Spaniel,Sporting,20,50,1910,26,England,Europe
French Bulldog,Non Sporting,12,28,1898,1,France,Europe
German Shepherd Dog,Herding,25,77,1908,4,Germany,Europe
German Shorthaired Pointer,Sporting,24,62,1930,10,Germany,Europe
German Wirehaired Pointer,Sporting,25,60,1959,59,Germany,Europe
Giant Schnauzer,Working,26,72,1930,58,Germany,Europe
Golden Retriever,Sporting,23,70,1925,3,Scotland,Europe
Gordon Setter,Sporting,25,67,1878,99,Scotland,Europe
Great Dane,Working,31,157,1887,19,Germany,Europe
Great Pyrenees,Working,29,100,1933,69,Spain,Europe
Greater Swiss Mountain Dog,Working,27,127,1995,83,Switzerland,Europe
Havanese,Toy,10,10,1996,25,Cuba,North America
Irish Setter,Sporting,27,70,1878,71,Ireland,Europe
Irish Wolfhound,Hound,32,120,1897,89,Ireland,Europe
Italian Greyhound,Toy,14,10,1886,63,Italy,Europe
Keeshond,Non Sporting,18,40,1930,90,Netherlands,Europe
Labrador Retriever,Sporting,23,72,1917,2,America,North America
Lagotto Romagnolo,Sporting,18,31,2015,76,Italy,Europe
Lhasa Apso,Non Sporting,10,15,1935,86,Tibet,Asia
Maltese,Toy,8,7,1888,38,Italy,Europe
Mastiff,Working,30,195,1885,37,England,Europe
Mini Poodle,Non Sporting,12,12,1887,7,Germany,Europe
Miniature American Shepherd,Herding,16,30,2015,31,America,North America
Miniature Pinscher,Toy,11,9,1925,72,Germany,Europe
Miniature Schnauzer,Terrier,13,15,1926,17,Germany,Europe
Newfoundland,Working,28,140,1886,42,Canada,North America
Norwegian Elkhound,Hound,20,55,1913,100,Norway,Europe
Nova Scotia Duck Tolling Retriever,Sporting,19,42,2003,81,Canada,North America
Old English Sheepdog,Herding,22,80,1888,74,England,Europe
Papillon,Toy,9,7,1915,51,France,Europe
Pekingese,Toy,7,14,1906,96,China,Asia
Pembroke Welsh Corgi,Herding,11,30,1934,11,Wales,Europe
Pomeranian,Toy,6,5,1888,23,Germany,Europe
Poodle,Non Sporting,15,65,1887,7,Germany,Europe
Portuguese Water Dog,Working,21,51,1983,46,Portugal,Europe
Pug,Toy,11,16,1885,35,China,Asia
Rat Terrier,Terrier,11,17,2013,85,America,North America
Rhodesian Ridgeback,Hound,26,85,1955,41,South Africa,Africa
Rottweiler,Working,25,115,1931,7,Germany,Europe
Russel Terrier,Terrier,11,12,2012,73,England,Europe
Saint Bernard,Working,29,160,1885,56,Switzerland,Europe
Samoyed,Working,22,55,1906,53,Siberia,Europe
Scottish Terrier,Terrier,10,20,1885,60,Scotland,Europe
Shetland Sheepdog,Herding,14,20,1911,27,Scotland,Europe
Shiba Inu,Non Sporting,15,23,1992,43,Japan,Asia
Shih Tzu,Toy,9,12,1969,20,China,Asia
Siberian Husky,Working,22,52,1930,21,Siberia,Europe
Soft Coated Wheaten Terrier,Terrier,18,35,1973,66,Ireland,Europe
Staffordshire Bull Terrier,Terrier,15,33,1974,75,England,Europe
